event_id,timestamp,txid,src_ip,dst_ip,src_port,dst_port,country,asn
EVT_000056,2026-01-01 04:49:35,TX_000056_7487,45.33.32.253,185.220.101.79,24454,63616,Switzerland,AS51167
EVT_000057,2026-01-01 04:50:21,TX_000057_6409,198.51.100.249,45.33.32.137,9708,8333,Private Network,AS0
EVT_000058,2026-01-01 04:59:42,TX_000058_1783,51.15.89.113,103.21.244.162,44390,8333,Germany,AS24940
EVT_000059,2026-01-01 05:13:01,TX_000059_9130,194.87.144.172,91.200.12.95,16811,8333,Russia,AS12389
EVT_000060,2026-01-01 05:18:54,TX_000060_0356,104.244.72.179,119.81.130.240,49863,8333,United States,AS16509
EVT_000061,2026-01-01 05:33:29,TX_000061_7805,91.200.12.77,91.200.12.179,56357,8333,Seychelles,AS36997
EVT_000062,2026-01-01 05:34:45,TX_000062_6053,119.81.130.202,198.51.100.249,10228,8333,Singapore,AS4657
EVT_000063,2026-01-01 05:37:05,TX_000063_7907,194.87.144.193,103.21.244.58,61751,8333,Russia,AS12389
EVT_000064,2026-01-01 05:40:36,TX_000064_6370,45.33.32.148,103.21.244.174,48897,8333,Switzerland,AS51167
EVT_000065,2026-01-01 05:41:36,TX_000065_6030,119.81.130.240,51.15.89.38,26510,8333,Singapore,AS4657
EVT_000066,2026-01-01 05:51:09,TX_000066_1627,198.51.100.249,51.15.89.38,55005,8333,Private Network,AS0
EVT_000067,2026-01-01 05:58:09,TX_000067_2695,198.51.100.235,178.62.204.39,8333,8333,Private Network,AS0
EVT_000068,2026-01-01 06:11:50,TX_000068_7965,198.51.100.109,178.62.204.160,1504,8333,Private Network,AS0
EVT_000069,2026-01-01 06:17:22,TX_000069_7349,178.62.204.178,104.244.72.67,45410,64290,United Kingdom,AS2856
EVT_000070,2026-01-01 06:21:27,TX_000070_3671,178.62.204.100,194.87.144.10,28067,56825,United Kingdom,AS2856
EVT_000071,2026-01-01 06:22:01,TX_000071_7123,104.244.72.45,45.33.32.120,45043,8333,United States,AS16509
EVT_000072,2026-01-01 06:25:07,TX_000072_3805,194.87.144.7,103.21.244.224,8333,8333,Russia,AS12389
EVT_000073,2026-01-01 06:35:01,TX_000073_4675,45.33.32.253,103.21.244.174,43330,8333,Switzerland,AS51167
EVT_000074,2026-01-01 06:35:08,TX_000074_5365,91.200.12.86,51.15.89.220,36640,36392,Seychelles,AS36997
EVT_000075,2026-01-01 06:47:38,TX_000075_4668,119.81.130.215,91.200.12.38,38945,8333,Singapore,AS4657
EVT_000076,2026-01-01 07:01:39,TX_000076_5583,198.51.100.109,178.62.204.169,33912,29853,Private Network,AS0
EVT_000077,2026-01-01 07:02:35,TX_000077_0297,194.87.144.52,198.51.100.99,32580,8333,Russia,AS12389
EVT_000078,2026-01-01 07:15:21,TX_000078_8071,198.51.100.226,194.87.144.172,8333,8333,Private Network,AS0
EVT_000079,2026-01-01 07:16:03,TX_000079_3001,185.220.101.81,194.87.144.139,25810,8333,Netherlands,AS13335
EVT_000080,2026-01-01 07:25:27,TX_000080_0136,185.220.101.81,194.87.144.119,58356,8333,Netherlands,AS13335
EVT_000081,2026-01-01 07:29:10,TX_000081_2573,178.62.204.89,178.62.204.169,38902,8333,United Kingdom,AS2856
EVT_000082,2026-01-01 07:39:18,TX_000082_3242,178.62.204.5,103.21.244.17,45628,8333,United Kingdom,AS2856
EVT_000083,2026-01-01 07:52:21,TX_000083_7136,198.51.100.235,178.62.204.212,50032,8333,Private Network,AS0
EVT_000084,2026-01-01 07:59:29,TX_000084_0478,185.220.101.74,178.62.204.169,8333,8333,Netherlands,AS13335
EVT_000085,2026-01-01 08:11:10,TX_000085_0105,119.81.130.215,194.87.144.88,63002,8333,Singapore,AS4657
EVT_000086,2026-01-01 08:14:21,TX_000086_1370,194.87.144.10,103.21.244.17,52120,8333,Russia,AS12389
EVT_000087,2026-01-01 08:25:11,TX_000087_6097,119.81.130.10,194.87.144.200,8333,38701,Singapore,AS4657
EVT_000088,2026-01-01 08:34:51,TX_000088_7196,194.87.144.7,119.81.130.159,46518,8333,Russia,AS12389
EVT_000089,2026-01-01 08:49:37,TX_000089_0598,119.81.130.249,185.220.101.77,52072,8333,Singapore,AS4657
EVT_000090,2026-01-01 08:53:14,TX_000090_6448,185.220.101.146,103.21.244.87,27099,8333,Netherlands,AS13335
EVT_000091,2026-01-01 09:05:39,TX_000091_8617,45.33.32.148,119.81.130.182,21710,8333,Switzerland,AS51167
EVT_000092,2026-01-01 09:12:23,TX_000092_3819,51.15.89.113,119.81.130.240,28807,8333,Germany,AS24940
EVT_000093,2026-01-01 09:12:55,TX_000093_8933,103.21.244.29,45.33.32.160,10582,8333,India,AS55836
EVT_000094,2026-01-01 09:13:06,TX_000094_3613,119.81.130.232,119.81.130.31,56657,6208,Singapore,AS4657
EVT_000095,2026-01-01 09:13:24,TX_000095_8971,198.51.100.11,194.87.144.118,30177,8333,Private Network,AS0
EVT_000096,2026-01-01 09:27:29,TX_000096_6904,51.15.89.204,194.87.144.118,25511,8333,Germany,AS24940
EVT_000097,2026-01-01 09:32:50,TX_000097_5173,103.21.244.224,178.62.204.13,13344,12978,India,AS55836
EVT_000098,2026-01-01 09:36:30,TX_000098_5107,198.51.100.226,119.81.130.234,8333,8333,Private Network,AS0
EVT_000099,2026-01-01 09:38:22,TX_000099_5644,51.15.89.215,194.87.144.88,18489,8333,Germany,AS24940
EVT_000100,2026-01-01 09:51:27,TX_000100_1510,119.81.130.249,45.33.32.160,31225,8333,Singapore,AS4657
EVT_000101,2026-01-01 09:51:39,TX_000101_7443,178.62.204.13,45.33.32.222,42870,8333,United Kingdom,AS2856
EVT_000102,2026-01-01 09:52:34,TX_000102_5083,119.81.130.225,178.62.204.89,32995,8333,Singapore,AS4657
EVT_000103,2026-01-01 09:56:30,TX_000103_6735,178.62.204.118,185.220.101.34,13581,8333,United Kingdom,AS2856
EVT_000104,2026-01-01 10:10:40,TX_000104_6527,119.81.130.29,103.21.244.141,37594,8333,Singapore,AS4657
EVT_000105,2026-01-01 10:20:14,TX_000105_7830,51.15.89.204,178.62.204.72,13680,8333,Germany,AS24940
EVT_000106,2026-01-01 10:22:30,TX_000106_1545,119.81.130.182,51.15.89.62,37066,8333,Singapore,AS4657
EVT_000107,2026-01-01 10:37:05,TX_000107_3756,194.87.144.60,119.81.130.232,37930,8333,Russia,AS12389
EVT_000108,2026-01-01 10:47:01,TX_000108_7148,119.81.130.240,51.15.89.233,3497,8333,Singapore,AS4657
EVT_000109,2026-01-01 10:47:19,TX_000109_0085,51.15.89.204,103.21.244.205,52987,8333,Germany,AS24940
EVT_000110,2026-01-01 10:59:18,TX_000110_9318,198.51.100.99,119.81.130.5,50362,8333,Private Network,AS0
EVT_000111,2026-01-01 10:59:48,TX_000111_1175,103.21.244.162,194.87.144.172,27141,8333,India,AS55836
EVT_000112,2026-01-01 11:14:19,TX_000112_8825,119.81.130.215,185.220.101.232,29890,8333,Singapore,AS4657
EVT_000113,2026-01-01 11:20:40,TX_000113_0997,45.33.32.253,51.15.89.115,30519,8333,Switzerland,AS51167
EVT_000114,2026-01-01 11:27:35,TX_000114_2058,198.51.100.226,178.62.204.5,8333,8333,Private Network,AS0
EVT_000115,2026-01-01 11:29:55,TX_000115_0842,91.200.12.77,45.33.32.120,57870,26355,Seychelles,AS36997
EVT_000116,2026-01-01 11:30:45,TX_000116_4119,104.244.72.179,119.81.130.202,17237,21007,United States,AS16509
EVT_000117,2026-01-01 11:36:25,TX_000117_8903,51.15.89.196,103.21.244.17,8333,8333,Germany,AS24940
EVT_000118,2026-01-01 11:36:35,TX_000118_3862,194.87.144.200,194.87.144.52,33944,8333,Russia,AS12389
EVT_000119,2026-01-01 11:42:06,TX_000119_0642,119.81.130.182,103.21.244.220,60247,8333,Singapore,AS4657
EVT_000120,2026-01-01 11:42:22,TX_000120_4781,194.87.144.118,51.15.89.118,58862,8333,Russia,AS12389
EVT_000121,2026-01-01 11:47:02,TX_000121_3372,198.51.100.85,198.51.100.197,54771,8333,Private Network,AS0
EVT_000122,2026-01-01 11:53:11,TX_000122_6585,198.51.100.98,45.33.32.163,8160,8333,Private Network,AS0
EVT_000123,2026-01-01 11:59:58,TX_000123_1614,119.81.130.31,45.33.32.253,8333,8333,Singapore,AS4657
EVT_000124,2026-01-01 12:12:49,TX_000124_2947,51.15.89.115,194.87.144.60,40925,8333,Germany,AS24940
EVT_000125,2026-01-01 12:13:23,TX_000125_9058,119.81.130.225,178.62.204.212,49354,8333,Singapore,AS4657
EVT_000126,2026-01-01 12:13:56,TX_000126_4217,198.51.100.109,104.244.72.128,35436,8333,Private Network,AS0
EVT_000127,2026-01-01 12:14:18,TX_000127_4208,178.62.204.89,51.15.89.113,51669,8333,United Kingdom,AS2856
EVT_000128,2026-01-01 12:28:45,TX_000128_5618,51.15.89.215,178.62.204.160,6171,50552,Germany,AS24940
EVT_000129,2026-01-01 12:39:46,TX_000129_2467,91.200.12.58,103.21.244.224,26719,8333,Seychelles,AS36997
EVT_000130,2026-01-01 12:39:50,TX_000130_1500,45.33.32.253,198.51.100.197,43586,8333,Switzerland,AS51167
EVT_000131,2026-01-01 12:45:26,TX_000131_3647,185.220.101.235,119.81.130.215,48065,23585,Netherlands,AS13335
EVT_000132,2026-01-01 12:50:44,TX_000132_1114,194.87.144.60,104.244.72.162,29316,8333,Russia,AS12389
EVT_000133,2026-01-01 12:50:58,TX_000133_3749,194.87.144.52,178.62.204.89,9824,8333,Russia,AS12389
EVT_000134,2026-01-01 12:59:13,TX_000134_0729,194.87.144.175,45.33.32.99,8333,8333,Russia,AS12389
EVT_000135,2026-01-01 12:59:48,TX_000135_7461,185.220.101.235,45.33.32.137,39052,8333,Netherlands,AS13335
EVT_000136,2026-01-01 13:13:55,TX_000136_1173,178.62.204.178,178.62.204.61,60241,8333,United Kingdom,AS2856
EVT_000137,2026-01-01 13:14:47,TX_000137_8077,45.33.32.157,103.21.244.29,18092,8333,Switzerland,AS51167
EVT_000138,2026-01-01 13:14:59,TX_000138_9173,104.244.72.162,91.200.12.38,50535,8333,United States,AS16509
EVT_000139,2026-01-01 13:17:03,TX_000139_2020,104.244.72.106,104.244.72.128,63315,8333,United States,AS16509
EVT_000140,2026-01-01 13:29:25,TX_000140_1658,194.87.144.60,119.81.130.159,20328,8333,Russia,AS12389
EVT_000141,2026-01-01 13:30:56,TX_000141_6410,51.15.89.215,91.200.12.38,12684,8333,Germany,AS24940
EVT_000142,2026-01-01 13:33:11,TX_000142_6242,194.87.144.119,178.62.204.168,8333,8333,Russia,AS12389
EVT_000143,2026-01-01 13:42:28,TX_000143_5063,198.51.100.85,104.244.72.25,29601,8333,Private Network,AS0
EVT_000144,2026-01-01 13:49:48,TX_000144_5376,198.51.100.98,178.62.204.31,24967,8333,Private Network,AS0
EVT_000145,2026-01-01 14:01:03,TX_000145_5894,119.81.130.215,185.220.101.34,6585,29727,Singapore,AS4657
EVT_000146,2026-01-01 14:10:39,TX_000146_9324,119.81.130.225,103.21.244.207,3451,8333,Singapore,AS4657
EVT_000147,2026-01-01 14:22:18,TX_000147_2531,45.33.32.253,198.51.100.109,60476,4025,Switzerland,AS51167
EVT_000148,2026-01-01 14:23:52,TX_000148_2197,119.81.130.10,194.87.144.60,8333,8333,Singapore,AS4657
EVT_000149,2026-01-01 14:34:17,TX_000149_5755,119.81.130.249,194.87.144.52,7575,8333,Singapore,AS4657
EVT_000150,2026-01-01 14:35:06,TX_000150_1492,103.21.244.254,178.62.204.89,14534,8333,India,AS55836
EVT_000151,2026-01-01 14:36:30,TX_000151_8108,119.81.130.240,45.33.32.137,53230,8333,Singapore,AS4657
EVT_000152,2026-01-01 14:49:38,TX_000152_6648,119.81.130.202,119.81.130.27,12550,8333,Singapore,AS4657
EVT_000153,2026-01-01 15:03:25,TX_000153_3095,51.15.89.204,103.21.244.205,15951,8333,Germany,AS24940
EVT_000154,2026-01-01 15:06:57,TX_000154_3689,51.15.89.115,45.33.32.122,9963,8333,Germany,AS24940
EVT_000155,2026-01-01 15:14:35,TX_000155_0674,51.15.89.115,185.220.101.74,15432,40583,Germany,AS24940
EVT_000156,2026-01-01 15:23:09,TX_000156_3698,194.87.144.139,103.21.244.87,8333,8333,Russia,AS12389
EVT_000157,2026-01-01 15:23:44,TX_000157_8358,104.244.72.45,185.220.101.146,28922,8333,United States,AS16509
EVT_000158,2026-01-01 15:34:56,TX_000158_4855,194.87.144.10,178.62.204.39,59576,8333,Russia,AS12389
EVT_000159,2026-01-01 15:44:13,TX_000159_3157,104.244.72.22,178.62.204.61,8333,8333,United States,AS16509
EVT_000160,2026-01-01 15:44:29,TX_000160_2177,51.15.89.115,185.220.101.235,50383,8333,Germany,AS24940
EVT_000161,2026-01-01 15:49:57,TX_000161_9650,198.51.100.226,119.81.130.10,8333,8333,Private Network,AS0
EVT_000162,2026-01-01 15:50:55,TX_000162_5241,194.87.144.214,119.81.130.182,20952,8333,Russia,AS12389
EVT_000163,2026-01-01 16:03:54,TX_000163_5862,119.81.130.31,119.81.130.202,10161,8333,Singapore,AS4657
EVT_000164,2026-01-01 16:07:44,TX_000164_6720,119.81.130.240,194.87.144.172,36309,8333,Singapore,AS4657
EVT_000165,2026-01-01 16:14:35,TX_000165_6789,178.62.204.5,119.81.130.234,23628,8333,United Kingdom,AS2856
EVT_000166,2026-01-01 16:29:20,TX_000166_6301,194.87.144.88,45.33.32.220,8333,8333,Russia,AS12389
EVT_000167,2026-01-01 16:33:00,TX_000167_7867,119.81.130.232,45.33.32.120,8333,8333,Singapore,AS4657
EVT_000168,2026-01-01 16:36:07,TX_000168_0090,198.51.100.85,104.244.72.67,63678,8333,Private Network,AS0
EVT_000169,2026-01-01 16:37:45,TX_000169_2676,119.81.130.225,45.33.32.222,38089,8333,Singapore,AS4657
EVT_000170,2026-01-01 16:44:20,TX_000170_6058,194.87.144.88,178.62.204.61,8333,8333,Russia,AS12389
EVT_000171,2026-01-01 16:50:20,TX_000171_1710,178.62.204.178,91.200.12.19,18814,8333,United Kingdom,AS2856
EVT_000172,2026-01-01 16:54:33,TX_000172_7848,119.81.130.202,178.62.204.100,15514,8333,Singapore,AS4657
EVT_000173,2026-01-01 16:55:11,TX_000173_4058,104.244.72.13,103.21.244.174,47547,8333,United States,AS16509
EVT_000174,2026-01-01 17:09:40,TX_000174_9386,103.21.244.174,185.220.101.160,8333,8333,India,AS55836
EVT_000175,2026-01-01 17:09:59,TX_000175_9384,198.51.100.95,119.81.130.115,45164,12876,Private Network,AS0
EVT_000176,2026-01-01 17:16:45,TX_000176_2766,198.51.100.95,185.220.101.13,45205,8333,Private Network,AS0
EVT_000177,2026-01-01 17:30:17,TX_000177_8808,198.51.100.226,103.21.244.162,8333,8831,Private Network,AS0
EVT_000178,2026-01-01 17:42:59,TX_000178_9590,178.62.204.100,185.220.101.34,51094,8333,United Kingdom,AS2856
EVT_000179,2026-01-01 17:43:57,TX_000179_3050,104.244.72.22,178.62.204.89,8333,8333,United States,AS16509
EVT_000180,2026-01-01 17:44:16,TX_000180_0252,194.87.144.172,119.81.130.10,57970,8333,Russia,AS12389
EVT_000181,2026-01-01 17:49:03,TX_000181_3753,51.15.89.118,194.87.144.118,12859,42170,Germany,AS24940
EVT_000182,2026-01-01 18:03:57,TX_000182_9066,119.81.130.159,178.62.204.13,21907,60736,Singapore,AS4657
EVT_000183,2026-01-01 18:04:04,TX_000183_2090,194.87.144.168,198.51.100.235,53259,8333,Russia,AS12389
EVT_000184,2026-01-01 18:13:40,TX_000184_6975,198.51.100.109,45.33.32.137,21765,8333,Private Network,AS0
EVT_000185,2026-01-01 18:14:09,TX_000185_8912,103.21.244.162,103.21.244.141,60213,8333,India,AS55836
EVT_000186,2026-01-01 18:22:41,TX_000186_8173,185.220.101.146,178.62.204.13,61742,8333,Netherlands,AS13335
EVT_000187,2026-01-01 18:33:56,TX_000187_9540,194.87.144.175,194.87.144.52,8333,8333,Russia,AS12389
EVT_000188,2026-01-01 18:34:55,TX_000188_8529,198.51.100.109,51.15.89.113,30612,8333,Private Network,AS0
EVT_000189,2026-01-01 18:35:09,TX_000189_5620,178.62.204.169,178.62.204.220,20042,16456,United Kingdom,AS2856
EVT_000190,2026-01-01 18:35:59,TX_000190_0212,198.51.100.197,178.62.204.169,17647,8333,Private Network,AS0
EVT_000191,2026-01-01 18:36:14,TX_000191_3724,198.51.100.99,198.51.100.99,59690,3697,Private Network,AS0
EVT_000192,2026-01-01 18:50:21,TX_000192_2427,198.51.100.235,178.62.204.168,8333,8333,Private Network,AS0
EVT_000193,2026-01-01 19:04:31,TX_000193_3223,198.51.100.109,104.244.72.228,60251,8333,Private Network,AS0
EVT_000194,2026-01-01 19:05:15,TX_000194_7862,198.51.100.125,119.81.130.215,42356,8333,Private Network,AS0
EVT_000195,2026-01-01 19:05:31,TX_000195_0391,104.244.72.116,51.15.89.220,58146,8333,United States,AS16509
EVT_000196,2026-01-01 19:19:09,TX_000196_6130,119.81.130.159,185.220.101.232,32087,8333,Singapore,AS4657
EVT_000197,2026-01-01 19:29:22,TX_000197_3180,91.200.12.19,178.62.204.61,22903,8333,Seychelles,AS36997
EVT_000198,2026-01-01 19:29:28,TX_000198_1923,119.81.130.225,51.15.89.204,37282,8333,Singapore,AS4657
EVT_000199,2026-01-01 19:37:26,TX_000199_0777,198.51.100.99,45.33.32.137,64899,8333,Private Network,AS0
EVT_000200,2026-01-01 19:40:33,TX_000200_9278,198.51.100.226,104.244.72.116,8333,8333,Private Network,AS0
EVT_000201,2026-01-01 19:45:56,TX_000201_8671,51.15.89.113,194.87.144.172,18457,8333,Germany,AS24940
EVT_000202,2026-01-01 19:46:56,TX_000202_0550,104.244.72.67,185.220.101.232,51496,8333,United States,AS16509
EVT_000203,2026-01-01 19:47:37,TX_000203_9783,194.87.144.172,198.51.100.11,64768,8333,Russia,AS12389
EVT_000204,2026-01-01 19:55:51,TX_000204_3941,198.51.100.85,104.244.72.162,53805,8333,Private Network,AS0
EVT_000205,2026-01-01 19:58:01,TX_000205_5326,51.15.89.115,103.21.244.173,55316,8333,Germany,AS24940
EVT_000206,2026-01-01 20:08:03,TX_000206_9311,194.87.144.151,103.21.244.192,8333,39316,Russia,AS12389
EVT_000207,2026-01-01 20:08:37,TX_000207_3785,119.81.130.249,185.220.101.146,49946,8333,Singapore,AS4657
EVT_000208,2026-01-01 20:11:56,TX_000208_2701,91.200.12.19,104.244.72.228,37792,8333,Seychelles,AS36997
EVT_000209,2026-01-01 20:23:40,TX_000209_7693,45.33.32.148,51.15.89.62,64094,8333,Switzerland,AS51167
EVT_000210,2026-01-01 20:31:37,TX_000210_7922,51.15.89.113,51.15.89.215,2600,21823,Germany,AS24940
EVT_000211,2026-01-01 20:37:40,TX_000211_7659,198.51.100.95,45.33.32.157,47770,8333,Private Network,AS0
EVT_000212,2026-01-01 20:39:12,TX_000212_8106,103.21.244.224,91.200.12.58,37273,8333,India,AS55836
EVT_000213,2026-01-01 20:39:36,TX_000213_9058,198.51.100.109,119.81.130.5,6523,8333,Private Network,AS0
EVT_000214,2026-01-01 20:45:55,TX_000214_9695,198.51.100.235,119.81.130.182,8333,22549,Private Network,AS0
EVT_000215,2026-01-01 20:55:54,TX_000215_4412,51.15.89.196,91.200.12.77,8333,8333,Germany,AS24940
EVT_000216,2026-01-01 20:59:25,TX_000216_7567,178.62.204.5,198.51.100.70,31347,8333,United Kingdom,AS2856
EVT_000217,2026-01-01 21:08:20,TX_000217_5176,51.15.89.204,51.15.89.196,19423,8333,Germany,AS24940
EVT_000218,2026-01-01 21:18:29,TX_000218_4410,104.244.72.128,103.21.244.29,12527,8333,United States,AS16509
EVT_000219,2026-01-01 21:18:48,TX_000219_8989,119.81.130.5,91.200.12.179,65124,8333,Singapore,AS4657
EVT_000220,2026-01-01 21:32:32,TX_000220_3158,194.87.144.172,51.15.89.233,42006,8333,Russia,AS12389
EVT_000221,2026-01-01 21:46:43,TX_000221_9196,104.244.72.22,194.87.144.88,8333,8333,United States,AS16509
EVT_000222,2026-01-01 21:54:57,TX_000222_5889,45.33.32.253,91.200.12.58,53135,8333,Switzerland,AS51167
EVT_000223,2026-01-01 22:05:34,TX_000223_2249,178.62.204.220,178.62.204.89,42794,8333,United Kingdom,AS2856
EVT_000224,2026-01-01 22:08:34,TX_000224_9540,91.200.12.58,104.244.72.228,40563,8333,Seychelles,AS36997
EVT_000225,2026-01-01 22:12:29,TX_000225_1266,194.87.144.233,51.15.89.118,8333,8333,Russia,AS12389
EVT_000226,2026-01-01 22:16:43,TX_000226_8770,119.81.130.225,91.200.12.179,46454,8333,Singapore,AS4657
EVT_000227,2026-01-01 22:18:28,TX_000227_8052,45.33.32.253,178.62.204.220,37376,8333,Switzerland,AS51167
EVT_000228,2026-01-01 22:22:00,TX_000228_8166,119.81.130.249,198.51.100.85,12563,8333,Singapore,AS4657
EVT_000229,2026-01-01 22:30:17,TX_000229_7659,178.62.204.100,194.87.144.119,54074,8333,United Kingdom,AS2856
