txid,timestamp,input_addresses,output_addresses,input_amounts,output_amounts,fee,pattern_type
tx_rapid_hop_04_dddddddddddddddddddddddddddddddddddddddddddddddd,2026-01-17T11:08:00,['1RapidRelayHop03Addr33333333333333'],['1RapidRelayHop04Addr33333333333333'],[4.998500000000001],[4.998000000000001],0.0005,RAPID_MOVEMENT
tx_rapid_hop_05_dddddddddddddddddddddddddddddddddddddddddddddddd,2026-01-17T11:10:00,['1RapidRelayHop04Addr33333333333333'],['1RapidRelayHop05Addr33333333333333'],[4.998000000000001],[4.997500000000001],0.0005,RAPID_MOVEMENT
tx_peel_chain_step_01_eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2026-01-18T15:00:00,['1PeelChainOriginAddr111111111111'],"['1PeelPaymentDest01Addr44444444444', '1PeelChangeHop01Addr555555555555']",[20.0],"[0.5, 19.4997]",0.0003,PEEL_CHAIN
tx_peel_chain_step_02_eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2026-01-18T18:00:00,['1PeelChangeHop01Addr555555555555'],"['1PeelPaymentDest02Addr44444444444', '1PeelChangeHop02Addr555555555555']",[19.4997],"[0.5, 18.9994]",0.0003,PEEL_CHAIN
tx_peel_chain_step_03_eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2026-01-18T21:00:00,['1PeelChangeHop02Addr555555555555'],"['1PeelPaymentDest03Addr44444444444', '1PeelChangeHop03Addr555555555555']",[18.9994],"[0.5, 18.499100000000002]",0.0003,PEEL_CHAIN
tx_peel_chain_step_04_eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2026-01-19T00:00:00,['1PeelChangeHop03Addr555555555555'],"['1PeelPaymentDest04Addr44444444444', '1PeelChangeHop04Addr555555555555']",[18.499100000000002],"[0.5, 17.998800000000003]",0.0003,PEEL_CHAIN
tx_peel_chain_step_05_eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,2026-01-19T03:00:00,['1PeelChangeHop04Addr555555555555'],"['1PeelPaymentDest05Addr44444444444', '1PeelChangeHop05Addr555555555555']",[17.998800000000003],"[0.5, 17.498500000000003]",0.0003,PEEL_CHAIN
tx_coinjoin_mixing_structure_0001_ffffffffffffffffffffffffffffffffff,2026-01-19T16:00:00,"['1MixParticipant01InAddr666666666666', '1MixParticipant02InAddr666666666666', '1MixParticipant03InAddr666666666666', '1MixParticipant04InAddr666666666666', '1MixParticipant05InAddr666666666666']","['1MixAnonymized01OutAddr77777777777', '1MixAnonymized02OutAddr77777777777', '1MixAnonymized03OutAddr77777777777', '1MixAnonymized04OutAddr77777777777', '1MixAnonymized05OutAddr77777777777']","[0.1002, 0.1002, 0.1002, 0.1002, 0.1002]","[0.1, 0.1, 0.1, 0.1, 0.1]",0.001,MIXING_LIKE_STRUCTURE
tx_dormant_initial_funding_0001_11111111111111111111111111111111111111,2025-06-09T10:00:00,['1OldMinerFundingPool00000000000000'],['1DormantWhaleColdWalletAddr8888888'],[50.0],[49.999],0.001,DORMANT_FUNDING
tx_dormant_sudden_activation_0002_2222222222222222222222222222222222222,2026-01-20T13:00:00,['1DormantWhaleColdWalletAddr8888888'],"['1SuddenRecipientOffshoreVault99999', '1DormantWhaleResidualChange0000000']",[49.999],"[40.0, 9.998]",0.001,DORMANT_ACTIVATION
tx_entity_cluster_co_spend_0001_33333333333333333333333333333333333333,2026-01-21T11:00:00,"['1ClusterA_HotWalletAddr1111111111111', '1ClusterA_DesktopClientAddr222222222', '1ClusterA_MobileWalletAddr3333333333']",['1ExchangeDepositBinanceGateway99999'],"[1.2, 0.8, 0.5]",[2.499],0.001,COMMON_INPUT_CLUSTER
