txid,timestamp,datetime,src_ip,dst_ip,primary_wallet,src_country,src_asn,label,entity_type,input_count,output_count,total_input_amount,total_output_amount,transaction_value,fee,fee_ratio,input_output_ratio,amount_in_out_ratio,fan_out_ratio,output_amount_variance,output_entropy,input_entropy,is_high_fanout,is_high_fanin,wallet_prior_tx_count,wallet_prior_sent_count,wallet_prior_recv_count,wallet_unique_ips_count,wallet_unique_asns_count,wallet_avg_sent_amount,wallet_std_sent_amount,wallet_avg_recv_amount,wallet_in_out_tx_ratio,ip_prior_tx_count,ip_associated_wallets_count,ip_unique_ports_used,is_standard_btc_port,is_ephemeral_src_port,shared_infrastructure_indicator,time_since_prev_wallet_tx,time_since_prev_ip_tx,burst_score,wallet_txs_last_1h,wallet_txs_last_6h,wallet_txs_last_24h,wallet_txs_last_7d,ip_txs_last_1h,ip_txs_last_24h,wallet_tx_velocity_per_hour,graph_degree,graph_in_degree,graph_out_degree,graph_pagerank,graph_2hop_neighbors,graph_3hop_neighbors,ml_probability,anomaly_score,graph_score,composite_risk_score,risk_level
TX_000011_5634,2026-01-01 01:49:03,2026-01-01 01:49:03,185.220.101.31,194.87.144.55,1BTC00429z,Netherlands,AS13335,0,MINER,1.0,3.0,8.643624,8.642047,8.643624,0.001577,0.00018244662192617355,0.3333333333333333,1.0001824799147703,2.9999700002999967,0.1587459033695555,1.5706511255787774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.12208492881087596,40.0,707.0,0.0007599827,24.940041106389018,0.0,5.9,LOW
TX_000012_7470,2026-01-01 01:49:09,2026-01-01 01:49:09,104.244.72.207,104.244.72.51,1BTC00420a,United States,AS16509,0,HIGH_VOLUME_SERVICE,2.0,5.0,6.68119,6.672485,6.68119,0.008705,0.001302911607064011,0.4,1.0013046114004003,2.4999875000625,0.0140235039112,2.3162997251247317,0.9996376714887034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,7.0,0.24460318581556462,145.0,287.0,0.007068422,27.596870914951232,0.0,6.6,LOW
TX_000013_2733,2026-01-01 01:51:20,2026-01-01 01:51:20,178.62.204.2,45.33.32.95,1BTC00338y,United Kingdom,AS2856,0,MERCHANT,4.0,1.0,1.020566,1.018674,1.020566,0.001892,0.0018538732428867901,4.0,1.0018573164721982,0.24999937500156252,0.0,0.0,1.9990051238859081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,0.1811772720532663,34.0,458.0,0.00931241,26.990271341027768,0.0,5.9,LOW
TX_000014_9750,2026-01-01 01:51:52,2026-01-01 01:51:52,194.87.144.212,91.200.12.157,1BTC00025b,Russia,AS12389,0,EXCHANGE,3.0,14.0,99.72978,99.55926,99.72978,0.17052,0.001709820276350755,0.21428571428571427,1.0017127487689244,4.666651111162962,0.1537518769323469,3.8051316081325504,1.5841751360309382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.2,86400.0,4013.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,5.0,16.0,0.17535181441535094,349.0,751.0,0.0026642643,44.7894070950921,0.0,11.2,LOW
TX_000015_9678,2026-01-01 01:52:02,2026-01-01 01:52:02,104.244.72.170,178.62.204.64,1BTC00350y,United States,AS16509,1,SUSPICIOUS_ACTOR,2.0,10.0,6.565428000000001,6.553028,6.565428000000001,0.0124,0.0018886811339641526,0.2,1.001892255000284,4.999975000125,0.0038366830631599985,3.3154643987516095,0.9999987380033168,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1,86400.0,1251.0,0.0006944444443640689,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,4.0,12.0,0.1565799422039259,249.0,540.0,0.99672914,38.366377221994135,0.0,59.4,MEDIUM
TX_000016_9270,2026-01-01 02:01:16,2026-01-01 02:01:16,51.15.89.201,178.62.204.64,1BTC00166c,Germany,AS24940,0,NORMAL_USER,2.0,2.0,0.08230799999999999,0.082258,0.08230799999999999,5e-05,0.0006074743645818147,1.0,1.000607843613995,0.9999950000249999,9.102288999999992e-06,0.996115018004637,0.9999352177315513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.12200525410598984,71.0,918.0,0.00030511292,20.159461675861994,0.0,4.3,LOW
TX_000017_4971,2026-01-01 02:14:30,2026-01-01 02:14:30,198.51.100.177,45.33.32.59,1BTC00465y,Private Network,AS0,0,NORMAL_USER,1.0,2.0,0.133294,0.133244,0.133294,5e-05,0.000375110657644005,0.5,1.0003752514184503,1.9999800001999979,1.3957696000000025e-05,0.9977303923128871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.10802209301116573,99.0,658.0,0.00030511292,19.761908859805082,0.0,4.6,LOW
TX_000018_5133,2026-01-01 02:14:40,2026-01-01 02:14:40,194.87.144.55,45.33.32.132,1BTC00225c,Russia,AS12389,1,SUSPICIOUS_ACTOR,11.0,3.0,41.421163,41.405496,41.421163,0.015667,0.00037823660335176975,3.6666666666666665,1.000378379720412,0.2727270247936138,0.8129852534646669,1.581840156996201,3.457343186707844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,5.0,0.3422499137046067,76.0,424.0,0.9990689,45.27901739183782,0.0,59.1,MEDIUM
TX_000019_5684,2026-01-01 02:18:11,2026-01-01 02:18:11,185.220.101.144,185.220.101.79,1BTC00201b,Netherlands,AS13335,0,NORMAL_USER,2.0,2.0,1.5719340000000002,1.569398,1.5719340000000002,0.002536,0.0016132992861023427,1.0,1.001615906226464,0.9999950000249999,0.0004631534410000005,0.9994573526366658,0.9998133679530135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.15357782538073506,57.0,577.0,0.00030511292,18.202029355198306,0.0,4.0,LOW
TX_000020_8511,2026-01-01 02:26:33,2026-01-01 02:26:33,178.62.204.58,178.62.204.90,1BTC00110x,United Kingdom,AS2856,0,MERCHANT,3.0,1.0,1.698509,1.698207,1.698509,0.000302,0.00017780300251573586,3.0,1.0001778346220456,0.3333322222259259,0.0,0.0,1.5843507865548985,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.705323,1.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,0.15041396881104202,76.0,817.0,0.0005236342,25.017430946176074,0.0,5.1,LOW
TX_000021_1367,2026-01-01 02:26:50,2026-01-01 02:26:50,45.33.32.95,178.62.204.232,1BTC00478a,Switzerland,AS51167,0,HIGH_VOLUME_SERVICE,2.0,5.0,1.0892979999999999,1.08828,1.0892979999999999,0.001018,0.0009345468365864989,0.4,1.0009354210313521,2.4999875000625,0.0005282863340000001,2.314157601716987,0.9997223561637834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,7.0,0.24640584402342602,42.0,980.0,0.006614024,26.101308151256784,0.0,6.3,LOW
TX_000022_3574,2026-01-01 02:37:32,2026-01-01 02:37:32,194.87.144.212,45.33.32.211,1BTC00381b,Russia,AS12389,0,NORMAL_USER,2.0,2.0,0.483874,0.48353999999999997,0.483874,0.000334,0.0006902623410226629,1.0,1.0006907391322333,0.9999950000249999,0.0001281197610000002,0.9984183346374785,0.9995871061248334,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.461545,0.0,12.548371,1.0,3.0,5.0,3.0,1.0,1.0,0.5,8611.0,2740.0,0.006967831834899743,0.0,1.0,1.0,1.0,1.0,3.0,0.041666666666666664,8.0,4.0,4.0,0.13574615614050192,64.0,433.0,0.00027829458,18.130845828833834,0.0,5.7,LOW
TX_000023_1827,2026-01-01 02:50:07,2026-01-01 02:50:07,51.15.89.74,194.87.144.172,1BTC00224z,Germany,AS24940,0,NORMAL_USER,2.0,1.0,1.174573,1.174053,1.174573,0.00052,0.00044271407566834917,2.0,1.0004429101582297,0.49999750001249993,0.0,0.0,0.9999999954777932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1,86400.0,7343.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,3.0,0.11678473838473176,93.0,509.0,0.00033288248,19.335183574742064,0.0,4.4,LOW
TX_000024_9360,2026-01-01 02:54:28,2026-01-01 02:54:28,51.15.89.74,198.51.100.31,1BTC00421a,Germany,AS24940,0,NORMAL_USER,1.0,1.0,1.216369,1.215891,1.216369,0.000478,0.0003929728560987661,1.0,1.0003931273444742,0.9999900000999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.3,86400.0,261.0,0.0006944444443640689,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,3.0,3.0,0.11796643031329988,42.0,378.0,0.00028581318,20.200735569974704,0.0,5.4,LOW
TX_000025_0984,2026-01-01 03:05:37,2026-01-01 03:05:37,51.15.89.211,178.62.204.128,1BTC00271a,Germany,AS24940,0,NORMAL_USER,1.0,2.0,1.042445,1.041867,1.042445,0.000578,0.000554465703226549,0.5,1.0005547733059978,1.9999800001999979,0.005294526932250002,0.9858802131746114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.587593,1.0,1.0,2.0,1.0,1.0,1.0,0.2,86400.0,6807.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,4.0,0.13122889576918323,87.0,220.0,0.000298874,18.526525639139084,0.0,5.0,LOW
TX_000026_4547,2026-01-01 03:17:41,2026-01-01 03:17:41,178.62.204.128,185.220.101.79,1BTC00240y,United Kingdom,AS2856,0,NORMAL_USER,2.0,2.0,1.726438,1.724689,1.726438,0.001749,0.0010130685260634903,1.0,1.0010140958746765,0.9999950000249999,0.00111005580625,0.9989229500138439,0.995060746802622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.20315805599960668,28.0,304.0,0.00030857246,19.826017799009822,0.0,4.3,LOW
TX_000027_8238,2026-01-01 03:20:18,2026-01-01 03:20:18,103.21.244.121,103.21.244.171,1BTC00358x,India,AS55836,0,NORMAL_USER,2.0,1.0,1.466901,1.46668,1.466901,0.000221,0.00015065774718266606,2.0,1.0001506804483595,0.49999750001249993,0.0,0.0,0.9999225572556016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.7,86400.0,6268.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,4.0,3.0,0.18138827900965573,40.0,458.0,0.00033288248,18.422011932343736,0.0,6.3,LOW
TX_000028_5619,2026-01-01 03:24:49,2026-01-01 03:24:49,178.62.204.128,103.21.244.171,1BTC00240y,United Kingdom,AS2856,0,NORMAL_USER,2.0,1.0,1.424341,1.421953,1.424341,0.002388,0.0016765648113759273,2.0,1.0016793804014619,0.49999750001249993,0.0,0.0,0.9998190113066905,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.934608,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.2,428.0,428.0,0.14018691261245533,1.0,1.0,1.0,1.0,1.0,1.0,0.041666666666666664,7.0,4.0,3.0,0.17291026435947568,71.0,443.0,0.00034772698,25.321995494011052,0.0,6.4,LOW
TX_000029_2535,2026-01-01 03:37:21,2026-01-01 03:37:21,51.15.89.201,104.244.72.207,1BTC00023a,Germany,AS24940,0,NORMAL_USER,1.0,1.0,0.50527,0.504635,0.50527,0.000635,0.0012567538147920914,1.0,1.0012583352323958,0.9999900000999989,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.040764,0.0,0.540246,1.0,1.0,2.0,1.0,1.0,1.0,0.2,86400.0,5765.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,3.0,0.1446450732987467,60.0,839.0,0.000298874,18.06939072133315,0.0,4.6,LOW
TX_000030_0435,2026-01-01 03:42:59,2026-01-01 03:42:59,194.87.144.47,91.200.12.50,1BTC00450z,Russia,AS12389,0,MINER,1.0,5.0,6.693755,6.6865310000000004,6.693755,0.007224,0.0010792148801382782,0.2,1.0010803808432205,4.999950000499995,0.017293664225359995,2.3150910700330862,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.587333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,0.11504359956545959,168.0,486.0,0.0034362974,25.294022659628556,0.0,6.7,LOW
TX_000031_8001,2026-01-01 03:44:56,2026-01-01 03:44:56,104.244.72.159,178.62.204.203,1BTC00395b,United States,AS16509,1,SUSPICIOUS_ACTOR,12.0,3.0,1.410293,1.407624,1.410293,0.002669,0.0018925145342138122,4.0,1.0018961029365796,0.24999979166684028,0.005833251016666669,1.566417573713089,3.582764386587361,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,5.0,0.35279249289648906,55.0,1018.0,0.9872754,43.206512168368036,0.0,58.1,MEDIUM
TX_000032_9590,2026-01-01 03:50:43,2026-01-01 03:50:43,45.33.32.236,103.21.244.121,1BTC00151x,Switzerland,AS51167,0,NORMAL_USER,1.0,2.0,0.624061,0.6238509999999999,0.624061,0.00021,0.0003365055659623018,0.5,1.0003366188400757,1.9999800001999979,0.00015253485025000036,0.9988688364689673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0.1856308739132017,143.0,533.0,0.00030857246,19.72862880353797,0.0,4.6,LOW
TX_000033_4148,2026-01-01 03:57:48,2026-01-01 03:57:48,51.15.89.211,178.62.204.85,1BTC00001a,Germany,AS24940,0,NORMAL_USER,2.0,2.0,1.468394,1.467428,1.468394,0.000966,0.0006578615821094338,1.0,1.0006582946488687,0.9999950000249999,0.007651700676,0.9897226207479582,0.9953716244269223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.3,86400.0,3131.0,0.0006944444443640689,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,4.0,4.0,0.30395294997052,9.0,92.0,0.00031689127,21.57382367014669,0.0,5.7,LOW
TX_000034_1294,2026-01-01 04:05:54,2026-01-01 04:05:54,178.62.204.58,119.81.130.205,1BTC00247z,United Kingdom,AS2856,0,MERCHANT,4.0,1.0,1.878045,1.876561,1.878045,0.001484,0.000790183408810758,4.0,1.000790808292403,0.24999937500156252,0.0,0.0,1.996355174403452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.3,86400.0,5961.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,6.0,3.0,0.1961244308824856,5.0,70.0,0.005845179,24.13669618872827,0.0,6.2,LOW
TX_000035_2624,2026-01-01 04:06:55,2026-01-01 04:06:55,194.87.144.212,178.62.204.232,1BTC00294b,Russia,AS12389,0,NORMAL_USER,1.0,1.0,0.122739,0.122594,0.122739,0.000145,0.001181368595149056,1.0,1.0011827658776122,0.9999900000999989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.304128,0.0,0.0,0.0,4.0,6.0,4.0,1.0,1.0,0.6,86400.0,5363.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,3.0,0.14759629837455845,6.0,256.0,0.00026751854,16.488127529923144,0.0,5.7,LOW
TX_000036_9192,2026-01-01 04:13:44,2026-01-01 04:13:44,51.15.89.211,178.62.204.128,1BTC00001a,Germany,AS24940,0,NORMAL_USER,1.0,2.0,0.663849,0.662855,0.663849,0.000994,0.001497328458730826,0.5,1.0014995738132775,1.9999800001999979,9.120249999999688e-09,0.9999999401072559,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.792976,0.0,0.0,0.0,3.0,5.0,3.0,1.0,1.0,0.5,956.0,956.0,0.06276150561964952,1.0,1.0,1.0,1.0,1.0,3.0,0.041666666666666664,7.0,3.0,4.0,0.13546601109922854,94.0,266.0,0.00028575267,23.184402282509804,0.0,7.2,LOW
TX_000037_6803,2026-01-01 04:18:42,2026-01-01 04:18:42,185.220.101.31,104.244.72.207,1BTC00078z,Netherlands,AS13335,0,MINER,1.0,5.0,5.746631,5.736244,5.746631,0.010387,0.0018074938168119723,0.2,1.0018107667665461,4.999950000499995,0.00779567465496,2.3176166169730728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1,86400.0,8979.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,3.0,7.0,0.10659237987872475,144.0,874.0,0.0035743637,28.139341094216196,0.0,7.7,LOW
TX_000038_1160,2026-01-01 04:19:00,2026-01-01 04:19:00,194.87.144.131,178.62.204.142,1BTC00051c,Russia,AS12389,1,SUSPICIOUS_ACTOR,6.0,2.0,23.121431,23.105531,23.121431,0.0159,0.0006876736997809521,3.0,1.0006881469203197,0.33333277777870374,2.9981320746322497,0.9837347384140398,2.5835100313499533,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.773838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,86400.0,86400.0,0.0006944444443640689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,0.2923141867210081,33.0,476.0,0.9991277,35.77165578588031,0.0,57.2,MEDIUM
